"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8739","TC_CHK_05 - cancel on step 1 returns to cart","firefox","2026-05-28","passed","2026-05-28","Module 04 – Checkout","checkout\checkout.spec.js","",""
"","7080","TC_E2E_12 - full flow: product detail → cart → checkout → complete","chromium","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","0","TC_USR_08 - problem_user sees products listed on inventory page","firefox","2026-05-28","skipped","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","6504","TC_NAV_15 - cart page title is ""Your Cart""","chromium","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","5307","TC_NAV_14 - inventory page title is ""Products""","webkit","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","3339","TC_USR_08 - problem_user sees 6 products on inventory page","chromium","2026-05-28","passed","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","4254","empty password shows validation error","webkit","2026-05-28","passed","2026-05-28","Module 01 – Authentication","auth\login.spec.js","",""
"","6473","sort by Name (Z to A) applies correctly","firefox","2026-05-28","passed","2026-05-28","Module 02 – Product Catalog","catalog\catalog.spec.js","",""
"","9653","TC_E2E_14 - all 6 products can be added to cart","firefox","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","4594","TC_NAV_11 - cart icon is visible in header","webkit","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","4496","TC_USR_11 - error_user can log in and reach inventory","webkit","2026-05-28","passed","2026-05-28","Module 09 – User Types & Behaviour","wishlist\user-types.spec.js","",""
"","0","TC_E2E_01 - login then see product catalog","chromium","2026-05-28","skipped","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","6508","TC_E2E_09 - finishing order shows order complete page","chromium","2026-05-28","passed","2026-05-28","Module 05 – E2E User Journey","e2e\e2e.spec.js","",""
"","7233","Back to Products button returns to inventory","webkit","2026-05-28","passed","2026-05-28","Module 02 – Product Catalog","catalog\catalog.spec.js","",""
"","11891","TC_NAV_09 - Logout link logs the user out","chromium","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
"","6020","TC_NAV_03 - burger menu button is visible","firefox","2026-05-28","passed","2026-05-28","Module 07 – Navigation & Sidebar","profile\navigation.spec.js","",""
